student_id,student_name,hours_of study,Lessons_attended,Final Grade
805,Dannel Grisley,95,12,9
806,Darcie Waleran,88,30,4
807,Noelyn Skade,39,23,20
808,Carlyle Spillane,50,9,8
809,Collen Tunnoch,13,5,2
810,Angelia Jenkinson,32,20,10
811,Tiffany Rolland,75,13,3
812,Glenn Basketfield,82,30,7
813,Davy Keyes,0,32,15
814,Roobbie Tuckwell,36,22,10
815,Waly Srutton,7,40,13
816,Debra Pleaden,84,25,15
817,Vladamir Sweedland,97,37,19
818,Osbert Clinch,81,10,18
819,Christiano Bernot,71,38,9
820,Johann Boribal,30,6,6
821,Desi Helin,23,10,14
822,Bee Handrick,98,12,14
823,Rocky Pattie,13,34,3
824,Farah Shotter,47,5,4
825,Alie Shitliffe,94,3,17
826,Libbi Revens,89,21,19
827,Tonia Pendergast,0,24,12
828,Padget Zecchii,52,7,8
829,Codi Dunsford,25,18,15
830,Valentijn Vernazza,37,22,19
831,Billie Tomkys,51,37,3
832,Massimo Bonallick,9,21,7
833,Viva Aartsen,55,34,19
834,Theodoric Flaune,31,19,18
835,Pam Mollon,67,29,16
836,Bobbie Van Bruggen,66,15,6
837,Billy Peppard,27,17,5
838,Minny Guyton,91,32,6
839,Broddie Skull,79,37,10
840,Loise Whitelock,26,3,9
841,Mimi Frewer,56,11,3
842,Brynn McGarahan,4,7,2
843,Bentley Libbis,12,17,12
844,Russ Brashaw,76,39,5
845,Vicky Quelch,1,8,9
846,Em Roan,82,18,1
847,Flori Phalip,9,37,5
848,Jasmina Ivankovic,4,10,12
849,Nedi Worham,40,36,15
850,Maryanna Langdridge,39,9,14
851,Peggy Ingree,65,40,5
852,Torey MacAnespie,7,37,7
853,Ray Brinkler,8,9,5
854,Fiona Kindall,85,29,5
855,Merna Chard,50,16,16
856,Aura Jedrychowski,73,8,4
857,Norman Gavagan,35,16,5
858,Hubey Pleace,44,27,6
859,Shirleen Belden,12,3,10
860,Kareem Jeal,42,8,13
861,Krishnah Hehir,71,39,1
862,Faydra Felce,43,32,7
863,Killian Ryde,96,38,4
864,Tobe Kirsop,65,6,8
865,Marylou Sibthorpe,62,27,8
866,Kliment Knee,20,22,18
867,Wallie Mallabone,68,28,8
868,Wesley Toovey,90,19,6
869,Raphael Pruvost,100,26,19
870,Hazel Leeves,45,21,12
871,Mia Pidgley,8,7,4
872,May Dainter,45,30,10
873,Glori Czapla,17,5,2
874,Gibb Sebire,46,13,7
875,Trevor Jelleman,15,27,13
876,Eddy Bowdrey,34,15,8
877,Muffin Fulford,35,26,5
878,Britta Dallicoat,9,35,1
879,Guenevere Connar,57,4,19
880,Corbet Weinham,8,5,14
881,Udall Bengoechea,76,23,16
882,Juan Lumber,21,7,4
883,Andreana O'Meara,58,27,4
884,Lombard Gerritzen,59,16,7
885,Dore Noon,59,11,18
886,Allyn Faulconbridge,48,18,10
887,Mignon Beer,33,25,11
888,Dorisa Streeting,25,31,18
889,Renato Sahnow,21,35,2
890,Jammie Guilloneau,27,10,9
891,Mira Reeves,30,4,4
892,Casper Mussett,95,5,14
893,Aubine MacKey,44,15,6
894,Lena Craythorn,71,36,17
895,Alain Donlon,24,38,10
896,Kevin Freke,75,18,6
897,Ramsey Woollam,55,13,19
898,Henrik Colegate,26,24,8
899,Rodd Dymick,16,35,3
900,Cati Braim,12,3,18
901,Amity Gandley,60,36,18
902,Manon Sharrard,49,28,13
903,Sanderson Voce,71,20,12
904,Etienne Veevers,16,17,11
905,Pearle Lambarton,17,6,7
906,Delcina Van der Son,17,39,8
907,Benni Blakey,69,5,13
908,Pearline Romushkin,86,2,5
909,Basilius Iacomi,59,36,11
910,Roma Spawton,69,35,14
911,Wayne Cleaveland,37,13,18
912,Sebastien Ferraro,35,23,19
913,Bink Spillane,66,31,7
914,Zak Rizzolo,12,31,15
915,Myer Ellph,87,31,10
916,Willette Gierth,60,7,8
917,Lissa Petruk,21,24,10
918,Bentlee Canada,19,37,12
919,Christoph Tilliards,43,1,12
920,Jae Chadbourne,61,39,7
921,Vickie Loffel,47,5,7
922,Wendel Diggins,87,36,20
923,Mateo Bowdler,98,3,1
924,Nadine Skeen,96,32,5
925,Willy Sitwell,91,25,17
926,Rubetta Freda,10,38,20
927,Jerrie de Savery,96,22,1
928,Hank Shieldon,86,28,20
929,Gery Gusticke,30,15,1
930,Lelah Santore,31,29,14
931,Beilul Jakoviljevic,48,18,4
932,Chelsea Devennie,45,30,11
933,Miriam Brownlow,49,23,7
934,Reagen O'Luney,42,1,7
935,Ulla Ison,87,12,8
936,Stanleigh Faucett,68,26,16
937,Ansley Froud,29,10,15
938,Bendick Yakunkin,12,7,12
939,Jethro Ashbolt,51,23,3
940,Ellswerth Mattecot,60,10,10
941,Everett Seymour,82,12,13
942,Emilia Grimme,54,18,6
943,Lynnett Anderson,94,23,4
944,Kristina Keford,51,32,11
945,Cassandry Paula,63,14,12
946,Deloris Golson,91,11,5
947,Nannette Ruslen,69,28,16
948,Theo Gierok,69,40,19
949,Janean Schreurs,99,19,5
950,Andree Goacher,90,39,9
951,Franni Summerfield,59,7,11
952,Nicki Dole,89,38,16
953,Callida MacNeilly,20,37,17
954,Calli Brazenor,17,3,15
955,Gordon Suscens,100,32,7
956,Colly Lammerts,27,23,20
957,Allin Spinella,64,3,3
958,Euell Smorthit,99,9,13
959,Caldwell Hambric,73,13,14
960,Nevsa Clendinning,54,16,15
961,Durand Attewell,3,34,15
962,Irene Moverley,11,24,20
963,Laina Buzin,62,37,9
964,Fran Fedynski,70,25,12
965,Janene Weber,50,4,16
966,Jodie Spurden,8,3,13
967,Fred Wadesworth,98,4,7
968,Godwin Peiser,23,11,11
969,Prissie Domanek,40,2,8
970,Raven Jiruch,46,5,4
971,Flss Lawson,80,7,8
972,Roley Sigert,17,7,11
973,Isac Drinkhall,71,20,17
974,Dannie Mansour,76,10,12
975,Scot Bilham,11,34,20
976,Gregor Keeton,22,38,13
977,Dalenna Robbe,82,11,14
978,Sue Heggs,17,9,15
979,Anthony Bullen,90,8,11
980,Barri Bourhill,81,31,12
981,Vita Knight,3,29,14
982,Glenda Filewood,74,8,13
983,Teirtza Pigram,8,11,12
984,Hamil Cann,8,13,11
985,Kynthia Gaishson,3,8,20
986,Micky Annear,78,13,16
987,Belva Hanse,84,27,17
988,Flory Craythorn,97,18,19
989,Carey Duigenan,60,26,3
990,Shalne Doy,35,9,14
991,Jesse Strathern,68,19,18
992,Brose Jochen,39,30,10
993,Boy Simonato,66,6,20
994,Nicholle Crampsy,20,21,17
995,Drucie Voas,57,12,4
996,Georgetta Swainsbury,52,31,10
997,Aguste Gebbie,18,7,17
998,Missie Spencelayh,45,18,19
999,Andie Collingridge,34,3,6
1000,Nevile Yashnov,38,38,16
